Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Abst
Primary and Secondary Syphilis,2019,Alabama,1,618,12.6,0
Primary and Secondary Syphilis,2018,Alabama,1,477,9.8,0
Primary and Secondary Syphilis,2017,Alabama,1,424,8.7,0
Primary and Secondary Syphilis,2016,Alabama,1,376,7.7,0
Primary and Secondary Syphilis,2015,Alabama,1,280,5.8,0
Gonorrhea,2019,Alabama,1,"14,492",295.6,0
Gonorrhea,2018,Alabama,1,"12,742",260.7,0
Gonorrhea,2017,Alabama,1,"11,948",245.1,0
Gonorrhea,2016,Alabama,1,"8,408",172.9,0
Gonorrhea,2015,Alabama,1,"7,196",148.3,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,1,540,11,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,1,447,9.1,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,1,425,8.7,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,1,293,6,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,1,177,3.6,0
Congenital Syphilis,2019,Alabama,1,15,25.6,0
Congenital Syphilis,2018,Alabama,1,7,12.1,0
Congenital Syphilis,2017,Alabama,1,6,10.2,0
Congenital Syphilis,2016,Alabama,1,4,6.8,0
Congenital Syphilis,2015,Alabama,1,3,5,0
Chlamydia,2019,Alabama,1,"31,228",636.9,0
Chlamydia,2018,Alabama,1,"28,437",581.8,0
Chlamydia,2017,Alabama,1,"29,935",614.1,0
Chlamydia,2016,Alabama,1,"26,901",553.1,0
Chlamydia,2015,Alabama,1,"26,359",543.2,0
Primary and Secondary Syphilis,2019,Alaska,2,129,17.6,0
Primary and Secondary Syphilis,2018,Alaska,2,55,7.5,0
Primary and Secondary Syphilis,2017,Alaska,2,13,1.8,0
Primary and Secondary Syphilis,2016,Alaska,2,8,1.1,0
Primary and Secondary Syphilis,2015,Alaska,2,8,1.1,0
Gonorrhea,2019,Alaska,2,"2,213",302.5,0
Gonorrhea,2018,Alaska,2,"2,247",305.7,0
Gonorrhea,2017,Alaska,2,"2,189",295.9,0
Gonorrhea,2016,Alaska,2,"1,454",196.1,0
Gonorrhea,2015,Alaska,2,"1,113",150.9,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,2,78,10.7,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,2,41,5.6,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,2,9,1.2,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,2,13,1.8,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,2,13,1.8,0
Congenital Syphilis,2019,Alaska,2,0,0,0
Congenital Syphilis,2018,Alaska,2,1,9.9,0
Congenital Syphilis,2017,Alaska,2,0,0,0
Congenital Syphilis,2016,Alaska,2,0,0,0
Congenital Syphilis,2015,Alaska,2,0,0,0
Chlamydia,2019,Alaska,2,"6,254",854.9,0
Chlamydia,2018,Alaska,2,"6,159",837.8,0
Chlamydia,2017,Alaska,2,"5,934",802.2,0
Chlamydia,2016,Alaska,2,"5,698",768.5,0
Chlamydia,2015,Alaska,2,"5,660",767.5,0
Primary and Secondary Syphilis,2019,Arizona,4,"1,290",17.7,1
Primary and Secondary Syphilis,2018,Arizona,4,"1,047",14.6,1
Primary and Secondary Syphilis,2017,Arizona,4,943,13.4,1
Primary and Secondary Syphilis,2016,Arizona,4,721,10.4,1
Primary and Secondary Syphilis,2015,Arizona,4,589,8.6,1
Gonorrhea,2019,Arizona,4,"15,180",208.6,1
Gonorrhea,2018,Arizona,4,"12,870",179.8,1
Gonorrhea,2017,Arizona,4,"12,502",177.5,1
Gonorrhea,2016,Arizona,4,"10,330",148.8,1
Gonorrhea,2015,Arizona,4,"8,245",120.7,1
"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,4,"1,179",16.2,1
"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,4,898,12.5,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,4,620,8.8,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,4,488,7,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,4,361,5.3,1
Congenital Syphilis,2019,Arizona,4,109,137.3,1
Congenital Syphilis,2018,Arizona,4,61,75.6,1
Congenital Syphilis,2017,Arizona,4,32,39.1,1
Congenital Syphilis,2016,Arizona,4,17,20.1,1
Congenital Syphilis,2015,Arizona,4,14,16.4,1
Chlamydia,2019,Arizona,4,"43,058",591.6,1
Chlamydia,2018,Arizona,4,"40,807",570.1,1
Chlamydia,2017,Arizona,4,"39,598",562.2,1
Chlamydia,2016,Arizona,4,"34,923",503.1,1
Chlamydia,2015,Arizona,4,"32,387",474.2,1
Primary and Secondary Syphilis,2019,Arkansas,5,404,13.4,1
Primary and Secondary Syphilis,2018,Arkansas,5,288,9.6,1
Primary and Secondary Syphilis,2017,Arkansas,5,234,7.8,1
Primary and Secondary Syphilis,2016,Arkansas,5,150,5,1
Primary and Secondary Syphilis,2015,Arkansas,5,134,4.5,1
Gonorrhea,2019,Arkansas,5,"6,907",228.9,1
Gonorrhea,2018,Arkansas,5,"7,300",242.5,1
Gonorrhea,2017,Arkansas,5,"6,710",223.6,1
Gonorrhea,2016,Arkansas,5,"5,732",191.7,1
Gonorrhea,2015,Arkansas,5,"4,780",160.5,1
"Early Non-Primary, Non-Secondary Syphilis",2019,Arkansas,5,267,8.8,1
"Early Non-Primary, Non-Secondary Syphilis",2018,Arkansas,5,364,12.1,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Arkansas,5,328,10.9,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Arkansas,5,280,9.4,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Arkansas,5,216,7.3,1
Congenital Syphilis,2019,Arkansas,5,21,57.4,1
Congenital Syphilis,2018,Arkansas,5,25,67.5,1
Congenital Syphilis,2017,Arkansas,5,8,21.3,1
Congenital Syphilis,2016,Arkansas,5,6,15.7,1
Congenital Syphilis,2015,Arkansas,5,5,12.9,1
Chlamydia,2019,Arkansas,5,"17,196",569.8,1
Chlamydia,2018,Arkansas,5,"17,663",586.9,1
Chlamydia,2017,Arkansas,5,"17,320",577.1,1
Chlamydia,2016,Arkansas,5,"16,737",559.8,1
Chlamydia,2015,Arkansas,5,"16,166",542.8,1
Primary and Secondary Syphilis,2019,California,6,"8,266",20.9,0
Primary and Secondary Syphilis,2018,California,6,"7,607",19.3,0
Primary and Secondary Syphilis,2017,California,6,"6,708",17,0
Primary and Secondary Syphilis,2016,California,6,"5,891",15,0
Primary and Secondary Syphilis,2015,California,6,"4,908",12.6,0
Gonorrhea,2019,California,6,"80,301",203.2,0
Gonorrhea,2018,California,6,"79,192",200.7,0
Gonorrhea,2017,California,6,"75,348",191.4,0
Gonorrhea,2016,California,6,"64,551",164.8,0
Gonorrhea,2015,California,6,"54,135",139.1,0
"Early Non-Primary, Non-Secondary Syphilis",2019,California,6,"8,284",21,0
"Early Non-Primary, Non-Secondary Syphilis",2018,California,6,"7,708",19.5,0
"Early Non-Primary, Non-Secondary Syphilis",2017,California,6,"7,028",17.9,0
"Early Non-Primary, Non-Secondary Syphilis",2016,California,6,"5,289",13.5,0
"Early Non-Primary, Non-Secondary Syphilis",2015,California,6,"4,435",11.4,0
Congenital Syphilis,2019,California,6,444,99.4,0
Congenital Syphilis,2018,California,6,329,72.3,0
Congenital Syphilis,2017,California,6,281,59.6,0
Congenital Syphilis,2016,California,6,207,42.3,0
Congenital Syphilis,2015,California,6,140,28.5,0
Chlamydia,2019,California,6,"236,719",599.1,0
Chlamydia,2018,California,6,"231,415",586.4,0
Chlamydia,2017,California,6,"218,785",555.9,0
Chlamydia,2016,California,6,"198,155",505.9,0
Chlamydia,2015,California,6,"189,170",486.1,0
Primary and Secondary Syphilis,2019,Colorado,8,486,8.4,0
Primary and Secondary Syphilis,2018,Colorado,8,337,5.9,0
Primary and Secondary Syphilis,2017,Colorado,8,292,5.2,0
Primary and Secondary Syphilis,2016,Colorado,8,250,4.5,0
Primary and Secondary Syphilis,2015,Colorado,8,245,4.5,0
Gonorrhea,2019,Colorado,8,"9,572",166.2,0
Gonorrhea,2018,Colorado,8,"8,894",156.3,0
Gonorrhea,2017,Colorado,8,"8,478",151.1,0
Gonorrhea,2016,Colorado,8,"5,975",107.9,0
Gonorrhea,2015,Colorado,8,"4,387",80.5,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Colorado,8,453,7.9,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Colorado,8,362,6.4,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Colorado,8,281,5,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Colorado,8,274,4.9,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Colorado,8,212,3.9,0
Congenital Syphilis,2019,Colorado,8,10,15.9,0
Congenital Syphilis,2018,Colorado,8,8,12.7,0
Congenital Syphilis,2017,Colorado,8,4,6.2,0
Congenital Syphilis,2016,Colorado,8,4,6,0
Congenital Syphilis,2015,Colorado,8,0,0,0
Chlamydia,2019,Colorado,8,"29,821",517.8,0
Chlamydia,2018,Colorado,8,"29,124",511.7,0
Chlamydia,2017,Colorado,8,"26,995",481,0
Chlamydia,2016,Colorado,8,"25,569",461.6,0
Chlamydia,2015,Colorado,8,"23,857",437.7,0
Primary and Secondary Syphilis,2019,Connecticut,9,210,5.9,0
Primary and Secondary Syphilis,2018,Connecticut,9,91,2.5,0
Primary and Secondary Syphilis,2017,Connecticut,9,110,3.1,0
Primary and Secondary Syphilis,2016,Connecticut,9,110,3.1,0
Primary and Secondary Syphilis,2015,Connecticut,9,92,2.6,0
Gonorrhea,2019,Connecticut,9,"4,418",123.9,0
Gonorrhea,2018,Connecticut,9,"4,959",138.8,0
Gonorrhea,2017,Connecticut,9,"3,913",109.5,0
Gonorrhea,2016,Connecticut,9,"2,731",76.3,0
Gonorrhea,2015,Connecticut,9,"2,088",58.2,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Connecticut,9,159,4.5,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Connecticut,9,77,2.2,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Connecticut,9,145,4.1,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Connecticut,9,84,2.3,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Connecticut,9,97,2.7,0
Congenital Syphilis,2019,Connecticut,9,3,8.8,0
Congenital Syphilis,2018,Connecticut,9,2,5.8,0
Congenital Syphilis,2017,Connecticut,9,0,0,0
Congenital Syphilis,2016,Connecticut,9,0,0,0
Congenital Syphilis,2015,Connecticut,9,1,2.8,0
Chlamydia,2019,Connecticut,9,"15,290",428.9,0
Chlamydia,2018,Connecticut,9,"16,732",468.5,0
Chlamydia,2017,Connecticut,9,"17,750",496.7,0
Chlamydia,2016,Connecticut,9,"13,911",388.8,0
Chlamydia,2015,Connecticut,9,"13,126",365.9,0
Primary and Secondary Syphilis,2019,Delaware,10,94,9.7,0
Primary and Secondary Syphilis,2018,Delaware,10,30,3.1,0
Primary and Secondary Syphilis,2017,Delaware,10,57,6,0
Primary and Secondary Syphilis,2016,Delaware,10,58,6.1,0
Primary and Secondary Syphilis,2015,Delaware,10,41,4.4,0
Gonorrhea,2019,Delaware,10,"1,617",166.1,0
Gonorrhea,2018,Delaware,10,"1,691",175.1,0
Gonorrhea,2017,Delaware,10,"1,784",186.5,0
Gonorrhea,2016,Delaware,10,"1,702",179.4,0
Gonorrhea,2015,Delaware,10,"1,310",139.2,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Delaware,10,65,6.7,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Delaware,10,36,3.7,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Delaware,10,49,5.1,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Delaware,10,57,6,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Delaware,10,47,5,0
Congenital Syphilis,2019,Delaware,10,2,18.9,0
Congenital Syphilis,2018,Delaware,10,0,0,0
Congenital Syphilis,2017,Delaware,10,0,0,0
Congenital Syphilis,2016,Delaware,10,0,0,0
Congenital Syphilis,2015,Delaware,10,1,9,0
Chlamydia,2019,Delaware,10,"5,864",602.2,0
Chlamydia,2018,Delaware,10,"6,038",625.4,0
Chlamydia,2017,Delaware,10,"5,392",563.5,0
Chlamydia,2016,Delaware,10,"5,365",565.4,0
Chlamydia,2015,Delaware,10,"4,605",489.2,0
Primary and Secondary Syphilis,2019,District of Columbia,11,308,43.6,0
Primary and Secondary Syphilis,2018,District of Columbia,11,279,39.8,0
Primary and Secondary Syphilis,2017,District of Columbia,11,274,39.4,0
Primary and Secondary Syphilis,2016,District of Columbia,11,161,23.5,0
Primary and Secondary Syphilis,2015,District of Columbia,11,95,14.1,0
Gonorrhea,2019,District of Columbia,11,"4,382",620.9,0
Gonorrhea,2018,District of Columbia,11,"4,240",604.4,0
Gonorrhea,2017,District of Columbia,11,"4,563",656.6,0
Gonorrhea,2016,District of Columbia,11,"3,226",470.4,0
Gonorrhea,2015,District of Columbia,11,"2,742",406,0
"Early Non-Primary, Non-Secondary Syphilis",2019,District of Columbia,11,414,58.7,0
"Early Non-Primary, Non-Secondary Syphilis",2018,District of Columbia,11,336,47.9,0
"Early Non-Primary, Non-Secondary Syphilis",2017,District of Columbia,11,341,49.1,0
"Early Non-Primary, Non-Secondary Syphilis",2016,District of Columbia,11,355,51.8,0
"Early Non-Primary, Non-Secondary Syphilis",2015,District of Columbia,11,200,29.6,0
Congenital Syphilis,2019,District of Columbia,11,1,11,0
Congenital Syphilis,2018,District of Columbia,11,1,10.9,0
Congenital Syphilis,2017,District of Columbia,11,0,0,0
Congenital Syphilis,2016,District of Columbia,11,1,10.1,0
Congenital Syphilis,2015,District of Columbia,11,1,10.4,0
Chlamydia,2019,District of Columbia,11,"9,327",1321.6,0
Chlamydia,2018,District of Columbia,11,"9,014",1284.9,0
Chlamydia,2017,District of Columbia,11,"9,107",1310.5,0
Chlamydia,2016,District of Columbia,11,"7,283",1061.9,0
Chlamydia,2015,District of Columbia,11,"7,894",1168.8,0
Primary and Secondary Syphilis,2019,Florida,12,"3,189",14.8,1
Primary and Secondary Syphilis,2018,Florida,12,"2,880",13.6,1
Primary and Secondary Syphilis,2017,Florida,12,"2,390",11.4,1
Primary and Secondary Syphilis,2016,Florida,12,"2,406",11.7,1
Primary and Secondary Syphilis,2015,Florida,12,"2,083",10.3,1
Gonorrhea,2019,Florida,12,"36,804",171.4,1
Gonorrhea,2018,Florida,12,"32,644",153.7,1
Gonorrhea,2017,Florida,12,"31,683",151.1,1
Gonorrhea,2016,Florida,12,"28,162",136.6,1
Gonorrhea,2015,Florida,12,"24,125",119.4,1
"Early Non-Primary, Non-Secondary Syphilis",2019,Florida,12,"4,142",19.3,1
"Early Non-Primary, Non-Secondary Syphilis",2018,Florida,12,"3,939",18.5,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Florida,12,"3,033",14.5,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Florida,12,"2,634",12.8,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Florida,12,"2,288",11.3,1
Congenital Syphilis,2019,Florida,12,145,65.9,1
Congenital Syphilis,2018,Florida,12,109,49.2,1
Congenital Syphilis,2017,Florida,12,99,44.3,1
Congenital Syphilis,2016,Florida,12,61,27.1,1
Congenital Syphilis,2015,Florida,12,40,17.8,1
Chlamydia,2019,Florida,12,"110,794",515.9,1
Chlamydia,2018,Florida,12,"104,758",493.1,1
Chlamydia,2017,Florida,12,"100,018",477.1,1
Chlamydia,2016,Florida,12,"94,742",459.6,1
Chlamydia,2015,Florida,12,"90,468",447.7,1
Primary and Secondary Syphilis,2019,Georgia,13,"1,750",16.5,1
Primary and Secondary Syphilis,2018,Georgia,13,"1,607",15.3,1
Primary and Secondary Syphilis,2017,Georgia,13,"1,489",14.3,1
Primary and Secondary Syphilis,2016,Georgia,13,"1,350",13.1,1
Primary and Secondary Syphilis,2015,Georgia,13,"1,413",13.9,1
Gonorrhea,2019,Georgia,13,"21,257",200.2,1
Gonorrhea,2018,Georgia,13,"20,867",198.5,1
Gonorrhea,2017,Georgia,13,"22,667",217.7,1
Gonorrhea,2016,Georgia,13,"20,553",199.5,1
Gonorrhea,2015,Georgia,13,"15,982",157,1
"Early Non-Primary, Non-Secondary Syphilis",2019,Georgia,13,"1,733",16.3,1
"Early Non-Primary, Non-Secondary Syphilis",2018,Georgia,13,"1,517",14.4,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Georgia,13,"1,218",11.7,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Georgia,13,"1,263",12.3,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Georgia,13,"1,477",14.5,1
Congenital Syphilis,2019,Georgia,13,56,44.3,1
Congenital Syphilis,2018,Georgia,13,31,24.6,1
Congenital Syphilis,2017,Georgia,13,23,17.8,1
Congenital Syphilis,2016,Georgia,13,21,16.1,1
Congenital Syphilis,2015,Georgia,13,21,16,1
Chlamydia,2019,Georgia,13,"67,720",637.8,1
Chlamydia,2018,Georgia,13,"65,936",627.3,1
Chlamydia,2017,Georgia,13,"65,104",625.4,1
Chlamydia,2016,Georgia,13,"62,776",609.4,1
Chlamydia,2015,Georgia,13,"57,639",566.3,1
Primary and Secondary Syphilis,2019,Hawaii,15,120,8.5,0
Primary and Secondary Syphilis,2018,Hawaii,15,92,6.5,0
Primary and Secondary Syphilis,2017,Hawaii,15,94,6.6,0
Primary and Secondary Syphilis,2016,Hawaii,15,112,7.8,0
Primary and Secondary Syphilis,2015,Hawaii,15,91,6.4,0
Gonorrhea,2019,Hawaii,15,"1,494",105.5,0
Gonorrhea,2018,Hawaii,15,"1,495",105.2,0
Gonorrhea,2017,Hawaii,15,"1,358",95.3,0
Gonorrhea,2016,Hawaii,15,"1,467",102.8,0
Gonorrhea,2015,Hawaii,15,"1,239",87.1,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Hawaii,15,95,6.7,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Hawaii,15,87,6.1,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Hawaii,15,58,4.1,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Hawaii,15,89,6.2,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Hawaii,15,56,3.9,0
Congenital Syphilis,2019,Hawaii,15,3,17.9,0
Congenital Syphilis,2018,Hawaii,15,4,23.6,0
Congenital Syphilis,2017,Hawaii,15,3,17.1,0
Congenital Syphilis,2016,Hawaii,15,1,5.5,0
Congenital Syphilis,2015,Hawaii,15,2,10.9,0
Chlamydia,2019,Hawaii,15,"8,093",571.6,0
Chlamydia,2018,Hawaii,15,"7,735",544.5,0
Chlamydia,2017,Hawaii,15,"6,850",480.9,0
Chlamydia,2016,Hawaii,15,"6,902",483.5,0
Chlamydia,2015,Hawaii,15,"7,074",497.5,0
Primary and Secondary Syphilis,2019,Idaho,16,47,2.6,0
Primary and Secondary Syphilis,2018,Idaho,16,46,2.6,0
Primary and Secondary Syphilis,2017,Idaho,16,64,3.7,0
Primary and Secondary Syphilis,2016,Idaho,16,50,3,0
Primary and Secondary Syphilis,2015,Idaho,16,57,3.5,0
Gonorrhea,2019,Idaho,16,"1,491",83.4,0
Gonorrhea,2018,Idaho,16,"1,134",64.8,0
Gonorrhea,2017,Idaho,16,987,57.5,0
Gonorrhea,2016,Idaho,16,635,37.7,0
Gonorrhea,2015,Idaho,16,472,28.6,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Idaho,16,40,2.2,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Idaho,16,33,1.9,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Idaho,16,41,2.4,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Idaho,16,33,2,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Idaho,16,24,1.5,0
Congenital Syphilis,2019,Idaho,16,1,4.5,0
Congenital Syphilis,2018,Idaho,16,1,4.7,0
